"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
1,"Cornea",58,149,252,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0000964","Cornea","Uberon","http://purl.obolibrary.org/obo/UBERON_0000964","Cornea","","","","","","","","",""
2,"Lens",255,207,218,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005389","Transparent Eye Structure","Uberon","http://purl.obolibrary.org/obo/UBERON_0005389","Transparent Eye Structure","","","","","","","","",""
3,"Iris",255,236,179,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0001769","Iris","Uberon","http://purl.obolibrary.org/obo/UBERON_0001769","Iris","","","","","","","","",""
4,"Choroid",219,46,46,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0001776","Optic Choroid","Uberon","http://purl.obolibrary.org/obo/UBERON_0001776","Optic Choroid","","","","","","","","",""
5,"Ciliary body",167,171,121,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0001775","Ciliary body","Uberon","http://purl.obolibrary.org/obo/UBERON_0001775","Ciliary body","","","","","","","","",""
6,"Retina",65,36,128,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0000966","Retina","Uberon","http://purl.obolibrary.org/obo/UBERON_0000966","Retina","","","","","","","","",""
7,"Optic disc",120,82,204,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0001783","Optic disc","Uberon","http://purl.obolibrary.org/obo/UBERON_0001783","Optic disc","","","","","","","","",""
8,"Optic nerve",213,155,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0000941","Cranial Nerve II","Uberon","http://purl.obolibrary.org/obo/UBERON_0000941","Cranial Nerve II","","","","","","","","",""
9,"Sclera",101,56,199,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0001773","Sclera","Uberon","http://purl.obolibrary.org/obo/UBERON_0001773","Sclera","","","","","","","","",""
10,"Macula",218,201,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0000053","Macula lutea","Uberon","http://purl.obolibrary.org/obo/UBERON_0000053","Macula lutea","","","","","","","","",""
11,"Suspensory ligaments",204,41,150,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0006762","Suspensory ligaments","Uberon","http://purl.obolibrary.org/obo/UBERON_0006762","Suspensory ligaments","","","","","","","","",""
